release_date,title,genre,region,want_to_see,url
2025-03-20,援藏日记,['剧情'],['中国大陆'],3686,https://movie.douban.com/subject/35624863/
2025-03-21,倩女幽魂,"['爱情', '奇幻', '武侠']",['中国香港'],150715,https://movie.douban.com/subject/1297447/
2025-03-21,白雪公主,"['剧情', '爱情', '奇幻']","['美国', '意大利']",6805,https://movie.douban.com/subject/26908303/
2025-03-22,我会好好的,['剧情'],"['中国大陆', '中国香港']",3182,https://movie.douban.com/subject/36166566/
2025-03-22,怒水西流,"['犯罪', '悬疑']",['中国大陆'],2910,https://movie.douban.com/subject/30290253/
2025-03-25,追幸福的人,['剧情'],['中国大陆'],679,https://movie.douban.com/subject/35247652/
2025-04-02,特别的你,['纪录片'],['中国大陆'],316,https://movie.douban.com/subject/36946781/
2025-04-03,热烈,"['剧情', '喜剧']",['中国大陆'],72891,https://movie.douban.com/subject/35556001/
2025-04-03,不说话的爱,['剧情'],['中国大陆'],9225,https://movie.douban.com/subject/35907663/
2025-04-03,不完美逃脱,"['犯罪', '悬疑', '惊悚']",['中国大陆'],313,https://movie.douban.com/subject/35295042/
2025-04-04,我的世界大电影,"['动作', '动画', '奇幻']","['美国', '瑞典']",10249,https://movie.douban.com/subject/26149750/
2025-04-04,向阳·花,"['剧情', '犯罪']",['中国大陆'],9033,https://movie.douban.com/subject/36954004/
2025-04-04,下一个台风,['剧情'],['中国大陆'],5671,https://movie.douban.com/subject/36752985/
2025-04-04,阳光照耀青春里,['剧情'],"['中国大陆', '中国香港']",5246,https://movie.douban.com/subject/35411283/
2025-04-04,机动战士高达：跨时之战,"['科幻', '动画', '冒险']",['日本'],1269,https://movie.douban.com/subject/37143373/
2025-04-11,荒蛮故事,"['剧情', '喜剧', '犯罪']","['阿根廷', '西班牙']",300079,https://movie.douban.com/subject/24750126/
2025-04-11,速度与激情7,"['动作', '犯罪']","['美国', '中国大陆']",60811,https://movie.douban.com/subject/23761370/
2025-04-11,此心安处,['剧情'],['美国'],5902,https://movie.douban.com/subject/35782224/
2025-04-11,谍网追凶,"['动作', '惊悚']",['美国'],4551,https://movie.douban.com/subject/36251574/
2025-04-15,东四十条,['剧情'],['中国大陆'],6292,https://movie.douban.com/subject/36215199/
2025-05-01,猎金游戏,"['剧情', '犯罪']",['中国大陆'],2083,https://movie.douban.com/subject/35929258/
2025-05-01,苍茫的天涯是我的爱,"['剧情', '喜剧']",['中国大陆'],840,https://movie.douban.com/subject/36978067/
2025-05-01,好工作！,"['剧情', '喜剧']",['中国大陆'],356,https://movie.douban.com/subject/37039947/
2025-05-01,开心超人之逆世营救,"['儿童', '科幻', '动画']",['中国大陆'],215,https://movie.douban.com/subject/36851305/
2025-05-09,祭屋,"['惊悚', '恐怖']",['中国大陆'],196,https://movie.douban.com/subject/37193368/
2025-05-30,时间之子,"['动画', '奇幻', '冒险']",['中国大陆'],3573,https://movie.douban.com/subject/36469477/
2025-07-05,星河入梦,"['动作', '科幻', '冒险']",['中国大陆'],3168,https://movie.douban.com/subject/36883105/
2025-07-25,长安的荔枝,"['剧情', '喜剧', '古装']",['中国大陆'],7358,https://movie.douban.com/subject/36185502/
2025-07-31,731,"['剧情', '战争']",['中国大陆'],37184,https://movie.douban.com/subject/27605659/
2025-10-01,熊猫计划2,"['喜剧', '动作']",['中国大陆'],648,https://movie.douban.com/subject/37211128/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],79971,https://movie.douban.com/subject/36212391/
